"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 02:35:46 UTC 2024","Thu Feb 01 02:35:53 UTC 2024","7255","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Thu Feb 01 02:46:09 UTC 2024","Thu Feb 01 02:46:20 UTC 2024","10469","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Feb 01 02:25:51 UTC 2024","Thu Feb 01 02:26:18 UTC 2024","26921","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Thu Feb 01 03:52:46 UTC 2024","Thu Feb 01 03:52:49 UTC 2024","3185","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Thu Feb 01 03:22:53 UTC 2024","Thu Feb 01 03:22:55 UTC 2024","2241","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Thu Feb 01 02:35:30 UTC 2024","Thu Feb 01 02:35:46 UTC 2024","15330","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Feb 01 03:39:04 UTC 2024","Thu Feb 01 03:39:07 UTC 2024","3009","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Thu Feb 01 02:47:00 UTC 2024","Thu Feb 01 02:47:01 UTC 2024","374","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Feb 01 03:33:21 UTC 2024","Thu Feb 01 03:33:44 UTC 2024","23210","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Thu Feb 01 02:46:20 UTC 2024","Thu Feb 01 02:46:23 UTC 2024","3233","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Feb 01 03:33:18 UTC 2024","Thu Feb 01 03:33:21 UTC 2024","2767","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Feb 01 02:32:11 UTC 2024","Thu Feb 01 02:32:18 UTC 2024","6425","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Feb 01 02:51:29 UTC 2024","Thu Feb 01 02:52:39 UTC 2024","69820","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Feb 01 03:54:24 UTC 2024","Thu Feb 01 03:54:42 UTC 2024","18101","","21. Forgot password function","","","","2. Reset password",""
